1,Hard
2,Medium
3,Medium
4,Medium
5,Medium
6,Medium
7,Hard
8,Hard
9,Medium
10,Hard
11,Medium
12,Hard
13,Easy
14,Hard
15,Medium
16,Hard
17,Easy
18,Easy
19,Hard
20,Medium
21,Medium
22,Easy
23,Hard
24,Medium
25,Medium
26,Medium
27,Medium
28,Medium
29,Medium
30,Medium
31,Medium
32,Medium
33,Medium
34,Easy
35,Easy
36,Medium
37,Hard
38,Medium
39,Medium
40,Easy
41,Easy
42,Medium
43,Easy
44,Medium
45,Easy
46,Medium
47,Medium
48,Medium
49,Medium
50,Hard
51,Medium
52,Medium
53,Easy
54,Easy
55,Medium
56,Medium
57,Easy
58,Medium
59,Easy
60,Easy
61,Medium
62,Medium
63,Medium
64,Medium
65,Medium
66,Medium
67,Easy
68,Hard
69,Easy
70,Medium
71,Medium
72,Hard
73,Hard
74,Medium
75,Medium
76,Medium
77,Medium
78,Easy
79,Medium
80,Easy
81,Easy
82,Easy
83,Hard
84,Easy
85,Easy
86,Easy
87,Medium
88,Easy
89,Medium
90,Medium
91,Hard
92,Medium
93,Medium
94,Medium
95,Medium
96,Medium
97,Easy
98,Medium
99,Medium
100,Medium
101,Easy
102,Easy
103,Medium
104,Easy
105,Medium
106,Easy
107,Medium
108,Medium
109,Easy
110,Medium
111,Medium
112,Hard
113,Medium
114,Easy
115,Medium
116,Easy
117,Medium
118,Easy
119,Medium
120,Easy
121,Medium
122,Easy
123,Medium
124,Hard
125,Medium
126,Easy
127,Medium
128,Medium
129,Easy
130,Medium
131,Easy
132,Easy
133,Easy
134,Medium
135,Medium
136,Medium
137,Medium
138,Medium
139,Medium
140,Easy
141,Medium
142,Easy
143,Medium
144,Medium
145,Medium
146,Easy
147,Easy
148,Medium
149,Easy
150,Easy
151,Easy
152,Medium
153,Medium
154,Easy
155,Medium
156,Hard
157,Medium
158,Medium
159,Medium
160,Medium
161,Hard
162,NONE
163,Medium
164,Medium
165,Medium
166,Easy
167,Medium
168,Medium
169,Medium
170,Medium
171,Medium
