1,Medium
2,Medium
3,Medium
4,Medium
5,Medium
6,Easy
7,Medium
8,Medium
9,Easy
10,Medium
11,Medium
12,Medium
13,Medium
14,Hard
15,Easy
16,Medium
17,Easy
18,Medium
19,Easy
20,Medium
21,Easy
22,Medium
23,Medium
24,Easy
25,Medium
26,Easy
27,Easy
28,Medium
29,Hard
30,Easy
31,Medium
32,Hard
33,Medium
34,Medium
35,Medium
36,Medium
37,Medium
38,Medium
39,Medium
40,Easy
41,Easy
42,Medium
43,Medium
44,Medium
45,Easy
46,Easy
47,Easy
48,Medium
49,Easy
50,Hard
51,Medium
52,Hard
53,Medium
54,Hard
55,Hard
56,Easy
57,Easy
58,Easy
59,Easy
60,Medium
61,Easy
62,Easy
63,Easy
64,Easy
65,Easy
66,Easy
67,Medium
68,Medium
69,Easy
70,Easy
71,Easy
72,Medium
73,Medium
74,Easy
75,Easy
76,Easy
77,Easy
78,Easy
79,Easy
80,Easy
81,Easy
82,Easy
83,Easy
84,Easy
85,Easy
86,Medium
87,Easy
88,Medium
89,Easy
90,Easy
91,Easy
92,Easy
93,Easy
94,Easy
95,Medium
96,Easy
97,Hard
98,Medium
99,Easy
100,Easy
101,Easy
102,Medium
103,Hard
104,Hard
105,Hard
106,Hard
107,Hard
108,Medium
109,Hard
110,Medium
111,Medium
112,Hard
113,Hard
114,Easy
115,Easy
116,Medium
117,Medium
118,Hard
119,Hard
120,Hard
121,Hard
122,Medium
123,Hard
124,NONE
125,Medium
126,Medium
127,Medium
128,NONE
129,Medium
130,Medium
131,Medium
132,Hard
